"","quality","p","size","chi2","description"
"1",28.7,0.76,6452,3567.07,"AREA.NAME=Hollenbeck"
"2",24.99,0.66,9193,2747.59,"AREA.NAME=Newton"
"3",24.85,0.68,7556,2690.49,"AREA.NAME=Mission"
"4",15.12,0.8,1386,961.94,"TIME.OCC=(20,24], AREA.NAME=Hollenbeck"
"5",14.35,0.58,6354,890.65,"AREA.NAME=Foothill"
"6",13.67,0.74,1593,786.83,"TIME.OCC=(20,24], AREA.NAME=Mission"
"7",13.66,0.76,1437,784.71,"TIME.OCC=(16,20], AREA.NAME=Hollenbeck"
"8",13.48,0.55,7724,793.03,"AREA.NAME=Rampart"
"9",12.49,0.7,1755,657.08,"TIME.OCC=(16,20], AREA.NAME=Mission"
"10",12.48,0.84,804,652.68,"Crm.Cd.Desc=BATTERY - SIMPLE ASSAULT, AREA.NAME=Hollenbeck"
"11",12.48,0.67,2070,657.21,"TIME.OCC=(16,20], AREA.NAME=Newton"
"12",12.11,0.51,11986,656.01,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT"
"13",11.49,0.67,1779,556.25,"TIME.OCC=(20,24], AREA.NAME=Newton"
"14",11.45,0.74,1137,550.92,"TIME.OCC=(12,16], AREA.NAME=Hollenbeck"
"15",11.03,0.67,1678,512.35,"TIME.OCC=(12,16], AREA.NAME=Newton"
"16",10.54,0.86,516,465.26,"Crm.Cd.Desc=INTIMATE PARTNER - SIMPLE ASSAULT, AREA.NAME=Hollenbeck"
"17",10.43,0.47,18753,507.73,"Crm.Cd.Desc=BATTERY - SIMPLE ASSAULT"
"18",10.31,0.7,1158,446.46,"TIME.OCC=(8.01,12], AREA.NAME=Hollenbeck"
"19",10.27,0.52,7229,458.69,"Crm.Cd.Desc=ROBBERY"
"20",10.08,0.75,804,425.91,"TIME.OCC=[0.0167,4.01], AREA.NAME=Hollenbeck"
